OTU	Kingdom	Phylum	Class	Order	Family	Genus	Species
60	Eukaryota	Metazoa	Arthropoda	Crustacea	Maxillopoda	Calanus	Calanus_helgolandicus
58	Eukaryota	Streptophyta	Embryophyceae	Embryophyceae_X	Embryophyceae_XX	Embryophyceae_XX_unclassified	
78	Eukaryota	Dinoflagellata	Dinophyceae	Dinophyceae_unclassified	Dinophyceae_unclassified	Dinophyceae_unclassified	
80	Eukaryota	Dinoflagellata	Syndiniales	Dino-Group-I	Dino-Group-I-Clade-1	Dino-Group-I-Clade-1_X	Dino-Group-I-Clade-1_X_sp.
95	Eukaryota	Ochrophyta	Chrysophyceae	Chrysophyceae_X	Chrysophyceae_Clade-H	Chrysophyceae_Clade-H_X	Chrysophyceae_Clade-H_X_sp.
84	Eukaryota	Stramenopiles_X	MAST	MAST-6	MAST-6_X	MAST-6_XX	MAST-6_XX_sp.
88	Eukaryota	Cercozoa	Filosa-Imbricatea	Thaumatomonadida	Thaumatomonadidae	Reckertia	Reckertia_filosa
77	Eukaryota	Lobosa	Lobosa_X	Stygamoebida	Vermistella-lineage	Vermistella	
93	Eukaryota	Cercozoa	Filosa-Thecofilosea	Filosa-Thecofilosea_unclassified	Filosa-Thecofilosea_unclassified	Filosa-Thecofilosea_unclassified	
91	Eukaryota	Cercozoa	Filosa-Thecofilosea	Ventricleftida	Ventricleftida_X	Ventricleftida_XX	Ventricleftida_XX_sp.
102	Eukaryota	Ciliophora	Spirotrichea	Hypotrichia	Holostichidae	Holosticha	Holosticha_diademata
103	Eukaryota	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Minidiscus	Minidiscus_trioculatus
100	Eukaryota	Streptophyta	Embryophyceae	Embryophyceae_X	Embryophyceae_XX	Triticum	Triticum_aestivum
97	Eukaryota	Cercozoa	Filosa-Thecofilosea	Filosa-Thecofilosea_X	Mataza-lineage	Mataza-lineage_X	Mataza-lineage_X_sp.
104	Eukaryota	Cercozoa	Filosa-Imbricatea	Thaumatomonadida	Thaumatomonadidae	Reckertia	Reckertia_filosa
108	Eukaryota	Cercozoa	Filosa-Imbricatea	Marimonadida	Marimonadida_X	Marimonadida_X_unclassified	
46	Eukaryota	Lobosa	Lobosa_X	Stygamoebida	Vermistella-lineage	Vermistella	
96	Eukaryota	Stramenopiles_X	Pirsonia_Clade	Pirsonia_Clade_X	Pirsonia_Clade_XX	Pirsonia_Clade__XXX	Pirsonia_Clade__XXX_sp.
109	Eukaryota	Cercozoa	Filosa-Thecofilosea	Ventricleftida	Ventricleftida_X	Ventricleftida_XX	Ventricleftida_XX_sp.
79	Eukaryota	Chlorophyta	Trebouxiophyceae	Watanabea-Clade	Watanabea-Clade_X	Apatococcus	Apatococcus_lobatus
101	Eukaryota	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Chaetoceros	Chaetoceros_sp.
107	Eukaryota	Opisthokonta_unclassified	Opisthokonta_unclassified	Opisthokonta_unclassified	Opisthokonta_unclassified	Opisthokonta_unclassified	
119	Eukaryota	Ciliophora	Oligohymenophorea	Scuticociliatia_1	Philasterida	Philasterida_unclassified	
67	Eukaryota	Dinoflagellata	Dinophyceae	Peridiniales	Thoracosphaeraceae	Thoracosphaeraceae_unclassified	
113	Eukaryota	Ochrophyta	Bolidophyceae	Parmales	Parmales_env_2	Parmales_env_2_X	Parmales_env_2_X_sp.
114	Eukaryota	Cercozoa	Filosa-Imbricatea	Thaumatomonadida	Thaumatomonadidae	Thaumatomonadidae_unclassified	
94	Eukaryota	Cercozoa	Filosa-Thecofilosea	Filosa-Thecofilosea_unclassified	Filosa-Thecofilosea_unclassified	Filosa-Thecofilosea_unclassified	
121	Eukaryota	Cercozoa	Cercozoa_unclassified	Cercozoa_unclassified	Cercozoa_unclassified	Cercozoa_unclassified	
122	Eukaryota	Cercozoa	Filosa-Thecofilosea	Cryomonadida	Cryothecomonas-lineage	Cryothecomonas	Cryothecomonas_aestivalis
116	Eukaryota	Cercozoa	Cercozoa_unclassified	Cercozoa_unclassified	Cercozoa_unclassified	Cercozoa_unclassified	
110	Eukaryota	Cercozoa	Filosa-Thecofilosea	Filosa-Thecofilosea_X	Mataza-lineage	Mataza-lineage_X	Mataza-lineage_X_sp.
124	Eukaryota	Cercozoa	Filosa-Imbricatea	Filosa-Imbricatea_unclassified	Filosa-Imbricatea_unclassified	Filosa-Imbricatea_unclassified	
118	Eukaryota	Lobosa	Tubulinea	Leptomyxida	Flabellulidae	Flabellulidae_unclassified	
89	Eukaryota	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	Pseudo-nitzschia	
135	Eukaryota	Lobosa	Tubulinea	Leptomyxida	Flabellulidae	Paraflabellula	
123	Eukaryota	Cercozoa	Filosa-Thecofilosea	Cryomonadida	Protaspa-lineage	Protaspa-lineage_X	Protaspa-lineage_X_sp.
126	Eukaryota	Ciliophora	Spirotrichea	Euplotia	Aspidiscidae	Aspidisca	Aspidisca_aculeata
130	Eukaryota	Cercozoa	Filosa-Thecofilosea	Filosa-Thecofilosea_X	Filosa-Thecofilosea_XX	Filosa-Thecofilosea_XXX	Filosa-Thecofilosea_XXX_sp.
128	Eukaryota	Stramenopiles_unclassified	Stramenopiles_unclassified	Stramenopiles_unclassified	Stramenopiles_unclassified	Stramenopiles_unclassified	
125	Eukaryota	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Thalassiosira	Thalassiosira_tenera
133	Eukaryota	Ochrophyta	Chrysophyceae	Chrysophyceae_X	Chrysophyceae_Clade-F	Paraphysomonas	Paraphysomonas_butcheri
92	Eukaryota	Cercozoa	Filosa-Imbricatea	Thaumatomonadida	Thaumatomonadidae	Thaumatomastix	
