sample_title	internal_id	locus_tag	preservation	time	extraction	forward_read_file_name	reverse_read_file_name
50w_NS_euk_RNAl_rep3	FE68_NS_euk_RNAlater_50_weeks	18S	RNAlater	50w	NucleoSpin	FE-68_S38_L001_R1_001.fastq.gz	FE-68_S38_L001_R2_001.fastq.gz
50w_PW_euk_RNAl_rep3	FE68_PW_euk_RNAlater_50_weeks	18S	RNAlater	50w	PowerWater	FE68-RNAlater-50weeks_S77_L001_R1_001.fastq.gz	FE68-RNAlater-50weeks_S77_L001_R2_001.fastq.gz
50w_NS_bac_RNAl_rep4	FE69_NS_bactV4V5_RNAlater_50_weeks	16S	RNAlater	50w	NucleoSpin	FE69_NS_bactV4V5_RNAlater_50_weeks_S69_L001_R1_001.fastq.gz	FE69_NS_bactV4V5_RNAlater_50_weeks_S69_L001_R2_001.fastq.gz
50w_PW_bac_RNAl_rep4	FE69_PW_bactV4V5_RNAlater_50_weeks	16S	RNAlater	50w	PowerWater	FE69_PW_bactV4V5_RNAlater_50_weeks_S157_L001_R1_001.fastq.gz	FE69_PW_bactV4V5_RNAlater_50_weeks_S157_L001_R2_001.fastq.gz
50w_NS_euk_RNAl_rep4	FE69_NS_euk_RNAlater_50_weeks	18S	RNAlater	50w	NucleoSpin	FE-69_S46_L001_R1_001.fastq.gz	FE-69_S46_L001_R2_001.fastq.gz
50w_PW_euk_RNAl_rep4	FE69_PW_euk_RNAlater_50_weeks	18S	RNAlater	50w	PowerWater	FE69-RNAlater-50weeks_S88_L001_R1_001.fastq.gz	FE69-RNAlater-50weeks_S88_L001_R2_001.fastq.gz
10w_PW_euk_HgCl_rep2	FE06_PW_euk_Mercury_Chloride_10_weeks	18S	HgCl	10w	PowerWater	FE6-HGCL2-10weeks_S60_L001_R1_001.fastq.gz	FE6-HGCL2-10weeks_S60_L001_R2_001.fastq.gz
50w_NS_bac_RNAl_rep5	FE70_NS_bactV4V5_RNAlater_50_weeks	16S	RNAlater	50w	NucleoSpin	FE70_NS_bactV4V5_RNAlater_50_weeks_S70_L001_R1_001.fastq.gz	FE70_NS_bactV4V5_RNAlater_50_weeks_S70_L001_R2_001.fastq.gz
50w_PW_bac_RNAl_rep5	FE70_PW_bactV4V5_RNAlater_50_weeks	16S	RNAlater	50w	PowerWater	FE70_PW_bactV4V5_RNAlater_50_weeks_S158_L001_R1_001.fastq.gz	FE70_PW_bactV4V5_RNAlater_50_weeks_S158_L001_R2_001.fastq.gz
50w_NS_euk_RNAl_rep5	FE70_NS_euk_RNAlater_50_weeks	18S	RNAlater	50w	NucleoSpin	FE-70_S54_L001_R1_001.fastq.gz	FE-70_S54_L001_R2_001.fastq.gz
50w_PW_euk_RNAl_rep5	FE70_PW_euk_RNAlater_50_weeks	18S	RNAlater	50w	PowerWater	FE70-RNAlater-50weeks_S8_L001_R1_001.fastq.gz	FE70-RNAlater-50weeks_S8_L001_R2_001.fastq.gz
50w_NS_bac_DNAg_rep1	FE71_NS_bactV4V5_DNAgard_50_weeks	16S	DNAgard	50w	NucleoSpin	FE71_NS_bactV4V5_DNAgard_50_weeks_S71_L001_R1_001.fastq.gz	FE71_NS_bactV4V5_DNAgard_50_weeks_S71_L001_R2_001.fastq.gz
50w_PW_bac_DNAg_rep1	FE71_PW_bactV4V5_DNAgard_50_weeks	16S	DNAgard	50w	PowerWater	FE71_PW_bactV4V5_DNAgard_50_weeks_S159_L001_R1_001.fastq.gz	FE71_PW_bactV4V5_DNAgard_50_weeks_S159_L001_R2_001.fastq.gz
50w_NS_euk_DNAg_rep1	FE71_NS_euk_DNAgard_50_weeks	18S	DNAgard	50w	NucleoSpin	FE-71_S62_L001_R1_001.fastq.gz	FE-71_S62_L001_R2_001.fastq.gz
50w_PW_euk_DNAg_rep1	FE71_PW_euk_DNAgard_50_weeks	18S	DNAgard	50w	PowerWater	FE71-DNAgard-50weeks_S19_L001_R1_001.fastq.gz	FE71-DNAgard-50weeks_S19_L001_R2_001.fastq.gz
50w_NS_bac_DNAg_rep2	FE72_NS_bactV4V5_DNAgard_50_weeks	16S	DNAgard	50w	NucleoSpin	FE72_NS_bactV4V5_DNAgard_50_weeks_S72_L001_R1_001.fastq.gz	FE72_NS_bactV4V5_DNAgard_50_weeks_S72_L001_R2_001.fastq.gz
50w_PW_bac_DNAg_rep2	FE72_PW_bactV4V5_DNAgard_50_weeks	16S	DNAgard	50w	PowerWater	FE72_PW_bactV4V5_DNAgard_50_weeks_S160_L001_R1_001.fastq.gz	FE72_PW_bactV4V5_DNAgard_50_weeks_S160_L001_R2_001.fastq.gz
50w_NS_euk_DNAg_rep2	FE72_NS_euk_DNAgard_50_weeks	18S	DNAgard	50w	NucleoSpin	FE-72_S3_L001_R1_001.fastq.gz	FE-72_S3_L001_R2_001.fastq.gz
